save_name,regex_pattern_cat,start_date,end_date,license_filter_list,n_papers
index_of_papers_for_labels_1.csv,\beess|\bcs,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",100
index_of_papers_for_labels_2.csv,\beess|\bcs,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",100
index_of_papers_for_labels_3.csv,\beess|\bcs,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",100
index_of_papers_for_labels_4.csv,\beess|\bcs,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",100
index_of_papers_for_labels_5.csv,\beess|\bcs|\bastro-ph|\bstat|\bphysics,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",500
index_of_papers_for_labels_6.csv,\beess|\bcs|\bastro-ph|\bstat|\bphysics,2015-01-01,2019-12-31,"['CC BY 4.0', 'CC0 1.0', 'CC']",500
index_of_papers_for_labels_7.csv,\beess|\bcs|\bastro-ph|\bstat|\bphysics,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",500
index_of_papers_for_labels_8.csv,\beess|\bcs|\bastro-ph|\bstat|\bphysics,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",500
index_of_papers_for_labels_9.csv,\beess|\bcs|\bastro-ph|\bstat|\bphysics,,,"['CC BY 4.0', 'CC0 1.0', 'CC']",500
